"COUNTRY","Country","SEX","Gender","AGE","Age","COUNTRY_ORIGIN","International students exclusion","ISC11_LEVEL_CAT","Education level and programe orientation ","INDICATOR","Indicator","YEAR","Year","Value","Flag Codes","Flags"
"AUS","Australia","M","Men","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_RATE_AGE","Graduation rates ","2010","2010",40.882,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_RATE_AGE","Graduation rates ","2011","2011",43.889,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_RATE_AGE","Graduation rates ","2012","2012",45.997,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_RATE_AGE","Graduation rates ","2013","2013",49.819,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_RATE_AGE","Graduation rates ","2014","2014",49.081,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_RATE_AGE","Graduation rates ","2005","2005",15.715,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_RATE_AGE","Graduation rates ","2010","2010",19.121,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_RATE_AGE","Graduation rates ","2011","2011",20.275,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_RATE_AGE","Graduation rates ","2012","2012",19.149,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_RATE_AGE","Graduation rates ","2013","2013",19.809,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_RATE_AGE","Graduation rates ","2014","2014",20.769,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_RATE_AGE","Graduation rates ","2005","2005",18.257,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_RATE_AGE","Graduation rates ","2010","2010",18.56,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_RATE_AGE","Graduation rates ","2011","2011",17.86,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_RATE_AGE","Graduation rates ","2012","2012",16.435,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_RATE_AGE","Graduation rates ","2013","2013",16.746,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_RATE_AGE","Graduation rates ","2014","2014",17.896,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_RATE_AGE","Graduation rates ","2005","2005",1.593,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_RATE_AGE","Graduation rates ","2010","2010",2.048,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_RATE_AGE","Graduation rates ","2011","2011",2.181,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_RATE_AGE","Graduation rates ","2012","2012",2.223,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_RATE_AGE","Graduation rates ","2013","2013",2.46,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_RATE_AGE","Graduation rates ","2014","2014",2.515,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_RATE_AGE","Graduation rates ","2005","2005",1.822,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_RATE_AGE","Graduation rates ","2010","2010",2.059,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_RATE_AGE","Graduation rates ","2011","2011",2.14,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_RATE_AGE","Graduation rates ","2012","2012",2.197,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_RATE_AGE","Graduation rates ","2013","2013",2.449,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_RATE_AGE","Graduation rates ","2014","2014",2.493,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_RATE_AGE","Graduation rates ","2005","2005",57.431,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_RATE_AGE","Graduation rates ","2010","2010",70.092,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_RATE_AGE","Graduation rates ","2011","2011",75.992,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_RATE_AGE","Graduation rates ","2012","2012",78.41,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_RATE_AGE","Graduation rates ","2013","2013",85.868,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_RATE_AGE","Graduation rates ","2014","2014",86.727,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_RATE_AGE","Graduation rates ","2005","2005",47.192,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_RATE_AGE","Graduation rates ","2010","2010",54.71,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_RATE_AGE","Graduation rates ","2011","2011",57.775,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_RATE_AGE","Graduation rates ","2012","2012",58.664,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_RATE_AGE","Graduation rates ","2013","2013",63.447,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_RATE_AGE","Graduation rates ","2014","2014",64.178,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_RATE_AGE","Graduation rates ","2005","2005",,"M","Missing value; data cannot exist"
"AUS","Australia","F","Women","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_RATE_AGE","Graduation rates ","2010","2010",17.13,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_RATE_AGE","Graduation rates ","2011","2011",21.676,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_RATE_AGE","Graduation rates ","2012","2012",30.66,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_RATE_AGE","Graduation rates ","2013","2013",30.435,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_RATE_AGE","Graduation rates ","2014","2014",20.43,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_RATE_AGE","Graduation rates ","2005","2005",,"M","Missing value; data cannot exist"
"AUS","Australia","M","Men","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_RATE_AGE","Graduation rates ","2010","2010",12.233,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_RATE_AGE","Graduation rates ","2011","2011",15.38,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_RATE_AGE","Graduation rates ","2012","2012",21.066,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_RATE_AGE","Graduation rates ","2013","2013",20.961,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_RATE_AGE","Graduation rates ","2014","2014",13.152,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_RATE_AGE","Graduation rates ","2005","2005",37.99,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_RATE_AGE","Graduation rates ","2010","2010",39.696,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_RATE_AGE","Graduation rates ","2011","2011",42.989,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_RATE_AGE","Graduation rates ","2012","2012",46.766,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_RATE_AGE","Graduation rates ","2013","2013",52.991,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_RATE_AGE","Graduation rates ","2014","2014",54.292,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_RATE_AGE","Graduation rates ","2005","2005",25.064,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_RATE_AGE","Graduation rates ","2010","2010",25.72,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_RATE_AGE","Graduation rates ","2011","2011",27.641,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_RATE_AGE","Graduation rates ","2012","2012",29.619,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_RATE_AGE","Graduation rates ","2013","2013",33.448,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L6","Bachelor’s or equivalent level (ISCED2011 level 6)","GRAD_RATE_AGE","Graduation rates ","2014","2014",33.953,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_RATE_AGE","Graduation rates ","2005","2005",7.094,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_RATE_AGE","Graduation rates ","2010","2010",7.031,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_RATE_AGE","Graduation rates ","2011","2011",7.851,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_RATE_AGE","Graduation rates ","2012","2012",8.09,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_RATE_AGE","Graduation rates ","2013","2013",9.163,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_RATE_AGE","Graduation rates ","2014","2014",9.736,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_RATE_AGE","Graduation rates ","2005","2005",6.722,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_RATE_AGE","Graduation rates ","2010","2010",5.788,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_RATE_AGE","Graduation rates ","2011","2011",5.869,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_RATE_AGE","Graduation rates ","2012","2012",6.089,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_RATE_AGE","Graduation rates ","2013","2013",6.913,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L7","Master’s or equivalent level (ISCED2011 level 7)","GRAD_RATE_AGE","Graduation rates ","2014","2014",7.206,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_RATE_AGE","Graduation rates ","2005","2005",1.278,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_RATE_AGE","Graduation rates ","2010","2010",1.573,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_RATE_AGE","Graduation rates ","2011","2011",1.618,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_RATE_AGE","Graduation rates ","2012","2012",1.55,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_RATE_AGE","Graduation rates ","2013","2013",1.712,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_RATE_AGE","Graduation rates ","2014","2014",1.693,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_RATE_AGE","Graduation rates ","2005","2005",1.271,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_RATE_AGE","Graduation rates ","2010","2010",1.357,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_RATE_AGE","Graduation rates ","2011","2011",1.33,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_RATE_AGE","Graduation rates ","2012","2012",1.305,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_RATE_AGE","Graduation rates ","2013","2013",1.404,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L8","Doctoral or equivalent level  (ISCED2011 level 8)","GRAD_RATE_AGE","Graduation rates ","2014","2014",1.37,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_RATE_AGE","Graduation rates ","2005","2005",34.991,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_RATE_AGE","Graduation rates ","2010","2010",37.943,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_RATE_AGE","Graduation rates ","2011","2011",41.461,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_RATE_AGE","Graduation rates ","2012","2012",45.21,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_RATE_AGE","Graduation rates ","2013","2013",52.852,,
"AUS","Australia","F","Women","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_RATE_AGE","Graduation rates ","2014","2014",54.522,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_RATE_AGE","Graduation rates ","2005","2005",23.756,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_RATE_AGE","Graduation rates ","2010","2010",25.515,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_RATE_AGE","Graduation rates ","2011","2011",27.663,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_RATE_AGE","Graduation rates ","2012","2012",29.657,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_RATE_AGE","Graduation rates ","2013","2013",34.759,,
"AUS","Australia","M","Men","_T","Total: All age groups","W0-W1_OECD","Excluding mobile students ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","GRAD_RATE_AGE","Graduation rates ","2014","2014",35.519,,
"AUT","Austria","F","Women","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_RATE_AGE","Graduation rates ","2005","2005",,"M","Missing value; data cannot exist"
"AUT","Austria","F","Women","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_RATE_AGE","Graduation rates ","2010","2010",27.254,,
"AUT","Austria","F","Women","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_RATE_AGE","Graduation rates ","2011","2011",26.909,,
"AUT","Austria","F","Women","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_RATE_AGE","Graduation rates ","2012","2012",28.702,,
"AUT","Austria","F","Women","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_RATE_AGE","Graduation rates ","2013","2013",28.971,,
"AUT","Austria","F","Women","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_RATE_AGE","Graduation rates ","2014","2014",29.326,,
"AUT","Austria","M","Men","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_RATE_AGE","Graduation rates ","2005","2005",,"M","Missing value; data cannot exist"
"AUT","Austria","M","Men","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_RATE_AGE","Graduation rates ","2010","2010",23.363,,
"AUT","Austria","M","Men","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_RATE_AGE","Graduation rates ","2011","2011",22.838,,
"AUT","Austria","M","Men","_T","Total: All age groups","W0","World (all entities, including reference area, including IO)","L5","Short-cycle tertiary education (ISCED2011 level 5)","GRAD_RATE_AGE","Graduation rates ","2012","2012",22.905,,
